type	time	latitude	longitude	altitude (m)	name	desc
T	2023-09-16 19:42:43.001	38.991544200	-76.869560100	0.0		
T	2023-09-16 19:42:44.001	38.991544200	-76.869560100	0.0		
T	2023-09-16 19:42:45.001	38.991559900	-76.869525500	0.0		
T	2023-09-16 19:42:46.001	38.991580800	-76.869489600	0.0		
T	2023-09-16 19:42:47.001	38.991596200	-76.869466800	0.0		
T	2023-09-16 19:42:48.001	38.991613800	-76.869448200	0.0		
T	2023-09-16 19:42:49.001	38.991613800	-76.869448200	0.0		
T	2023-09-16 19:42:50.001	38.991635300	-76.869421800	0.0		
T	2023-09-16 19:42:51.001	38.991647400	-76.869400500	0.0		
T	2023-09-16 19:42:52.001	38.991661000	-76.869379900	0.0		
T	2023-09-16 19:42:53.016	38.991676800	-76.869361700	0.0		
T	2023-09-16 19:42:54.001	38.991688500	-76.869339700	0.0		
T	2023-09-16 19:42:55	38.991699100	-76.869321600	0.0		
T	2023-09-16 19:42:56	38.991699100	-76.869321600	0.0		
T	2023-09-16 19:42:57	38.991717700	-76.869291100	0.0		
T	2023-09-16 19:42:58.001	38.991733400	-76.869270600	0.0		
T	2023-09-16 19:42:59.001	38.991745000	-76.869257900	0.0		
T	2023-09-16 19:43:00.001	38.991745000	-76.869257900	0.0		
T	2023-09-16 19:43:01	38.991763800	-76.869239700	0.0		
T	2023-09-16 19:43:02.001	38.991795300	-76.869217000	0.0		
T	2023-09-16 19:43:03.001	38.991814700	-76.869199900	0.0		
T	2023-09-16 19:43:04.001	38.991830700	-76.869187300	0.0		
T	2023-09-16 19:43:05.001	38.991854400	-76.869168800	0.0		
T	2023-09-16 19:43:06.001	38.991876600	-76.869148300	0.0		
T	2023-09-16 19:43:07.001	38.991899000	-76.869133900	0.0		
T	2023-09-16 19:43:08.001	38.991920600	-76.869120400	0.0		
T	2023-09-16 19:43:09.001	38.991920600	-76.869120400	0.0		
T	2023-09-16 19:43:10	38.991954700	-76.869097600	0.0		
T	2023-09-16 19:43:11.001	38.991996500	-76.869075800	0.0		
T	2023-09-16 19:43:12.001	38.992021300	-76.869068300	0.0		
T	2023-09-16 19:43:13.001	38.992053100	-76.869060000	0.0		
T	2023-09-16 19:43:14.001	38.992053100	-76.869060000	0.0		
T	2023-09-16 19:43:15.001	38.992096300	-76.869046100	0.0		
T	2023-09-16 19:43:16.001	38.992124800	-76.869036300	0.0		
T	2023-09-16 19:43:17.001	38.992155500	-76.869028400	0.0		
T	2023-09-16 19:43:18.005	38.992155500	-76.869028400	0.0		
T	2023-09-16 19:43:19.001	38.992204800	-76.869013100	0.0		
T	2023-09-16 19:43:20.001	38.992204800	-76.869013100	0.0		
T	2023-09-16 19:43:21	38.992249800	-76.868999800	0.0		
T	2023-09-16 19:43:22.001	38.992295700	-76.868974400	0.0		
T	2023-09-16 19:43:23.001	38.992332300	-76.868959400	0.0		
T	2023-09-16 19:43:24	38.992332300	-76.868959400	0.0		
T	2023-09-16 19:43:25	38.992398200	-76.868935300	0.0		
T	2023-09-16 19:43:26	38.992435100	-76.868927500	0.0		
T	2023-09-16 19:43:27.001	38.992468800	-76.868923500	0.0		
T	2023-09-16 19:43:28	38.992502100	-76.868920700	0.0		
T	2023-09-16 19:43:29.001	38.992537800	-76.868913900	0.0		
T	2023-09-16 19:43:30.001	38.992537800	-76.868913900	0.0		
T	2023-09-16 19:43:31.001	38.992602600	-76.868902100	0.0		
T	2023-09-16 19:43:32.001	38.992602600	-76.868902100	0.0		
T	2023-09-16 19:43:33.001	38.992675600	-76.868898300	0.0		
T	2023-09-16 19:43:34.001	38.992709100	-76.868889800	0.0		
T	2023-09-16 19:43:35.001	38.992740400	-76.868880600	0.0		
T	2023-09-16 19:43:36.001	38.992768900	-76.868870300	0.0		
T	2023-09-16 19:43:37.001	38.992796500	-76.868862600	0.0		
T	2023-09-16 19:43:38.001	38.992824800	-76.868862200	0.0		
T	2023-09-16 19:43:39	38.992851800	-76.868862600	0.0		
T	2023-09-16 19:43:40.002	38.992877400	-76.868869600	0.0		
T	2023-09-16 19:43:41.001	38.992893000	-76.868886900	0.0		
T	2023-09-16 19:43:42.001	38.992893000	-76.868886900	0.0		
T	2023-09-16 19:43:43.001	38.992914300	-76.868924200	0.0		
T	2023-09-16 19:43:44.001	38.992927500	-76.868937800	0.0		
T	2023-09-16 19:43:45.001	38.992938400	-76.868946400	0.0		
T	2023-09-16 19:43:46.001	38.992938400	-76.868946400	0.0		
T	2023-09-16 19:43:47.001	38.992947500	-76.868957100	0.0		
